     1    54     2    67    93     1     1    93     2    93    54    80    15    93    15
     1     1    28    28    15    54     1     1     1    28    54    80    41    41    93
    54   106    80    28    67    41    28     1    80   106     1   106    28    54    41
    15    67    15    93     2    80     1     2    54    15   106    28     1    41     1
    41    67    54    15    80    93    93     2    80     1    15    41   106    28    28
    15     2    93     1    80     1    80     1    67    41     1    54    15    28    28
     1    54     2    41    80    41   106    80    41     1     1    41    15    93    93
    41    28    80    41    28    28     1   106    93    28     1    28    28    54     1
    80    80    41    41     1     1    15    15     1    15    41    67   106    28    80
    80    28    93    15    93   106     1    80    41    67    41   106     1     1    15
    54   106   106    28     1     2     1    41     1   106     1     1    15    93    54
     1    54    41     1    54    93   106    54    80     1     2     1    41    28     1
    80    67    80    80   106    41    41    15    54    67     1   106     1    67    28
    80     1   106    15    41   106    67    54     1     1    28    41    54    67    28
     2     1    28   106    54    15     1    41    67    15     1    15    28   106    80
    54     1    28     2    28    67   106    28    67   106    15    93     1    41    54
    15   106    67    93    41    93    93    15    93     1    80     1     1     1    80
   106    67   106    41     1    93   106    67    67    80    93   106   106     2    54
    28    54    80    28     1     1     1    80     2    41    28    67     1    15     1
    80    80    80     2    93    80    28    54     1    54    93    28    41     1    93
     1     1    67   106    80     1    15   106    67     2     1    28    28     1     2
    54     1    80    41     2    28     1    28    54   106    41    41     1    54    15
     1    93    41    80    28    80    80    54    67    41     2     1   106    93     1
     2     1    15    41    80     2    41    67    28    41     2    67    80    93     2
    54    15     1   106    54    54   106    41    67     1     1   106    67    28    28
    28    93    93    54    80   106     2    15     1    15    80     2   106    93   106
    93     1    28    28     2    93   106    93     1     1    67    28   106    67    93
     1    67   106     2    15     2     1     2    28     1    93    28     2    67     1
     1    15   106    80     1     1     1    67    93   106    67    80    93    41    28
    41     1     1     2    54    15    93   106     1    41    80     1    67    28     2
     1     1    41     2    28    28    41     1     1    15    28    93    54    41     1
    28    93    80   106    54   106    41    41   106     1     2    54    80   106    15
   106     1   106     1   106    93    80     1    41    15    41     1    28     1    28
    41   106     1    54     1    15    41    93    41    15     2    67     1     1    41
    54    93   106     2    67     1    28    54    67    41    15    93     2    15    41
   106    15    93   106    54     1    80    93     2     1    41   106    15    15     1
     1    15    80    41    28    80    54    93    93     2     2    80    15     1   106
    41    80   106    80     2     1    15    15    41    93    93    41    41    41    67
     1   106    28    93    93    15     1     1    54     1    93     1     1     1    15
     1     1    54    15     2     2    80     1    54    54    93    15    15    67   106
    41    67     1    67    54    80     1    41    80    54     2    54    80    28    80
    80    28    93    67    28    54    28     1    67     1    15    15    28    54    54
     1     1     2   106    41     1     1    80    15     1     2   106    80    80   106
    41    41     1     2    54    80    15     1    41    67    80    80    67     1    67
    67    93    54     2    54    93     1     1    54    80    93    28    67    67    80
    15    41    41     1    28     1    28     1    67    54    15     2    54    54     1
     1    80    93    15    80    41   106    67    15    80   106     1    93     1    54
     1    54   106     2    93    93    67    80    93    67     1    15   106    41     1
   106    67     1    67    28    41     1    28     2   106    54    28    54    15     1
    80    80     2    15    54     1   106    28    93    41    67     1    67     1    54
    41    28    80    80     1   106     1     2    28    67     1    80     2    41    54
    28     1     1     1     1   106     2    28   106    54     1    54     2     1     1
    54    41    41   106    93    15   106    80     1    41    15     2     1    15   106
    41    28    80     2     1     1    67   106     2    15    80     1    15    93    41
     2    80    41    41    15    41    41    80     1    28    80     2    28     2    15
